"","Age","Ti","charcoal","elapsedTime_ti","elapsedTime_diat","diatPrC","pollenPrC","agropastPrC"
"1",-63,NA,NA,6,4,2.22348634140033,0.34644965781097,0.682147970120763
"2",-59,NA,-0.568689707688981,7,4,2.22348634140033,0.176628745191769,0.753457800117093
"3",-55,5.3171185575,-0.82129184923839,258,4,2.22348634140033,0.398790776312491,0.793501076156986
"4",-51,5.215331886,-0.947592920013094,257,5,2.22348634140033,0.106497491518781,0.7055163686697
"5",-46,4.7049594505,-0.947592920013094,66,4,2.22348634140033,0.360971583517269,0.156069229088405
"6",-42,4.466545016,-0.947592920013094,65,4,2.22348634140033,0.148118749095077,0.157181903079337
"7",-38,11.0688888833333,-0.947592920013094,70,3,1.90713454993095,0.214234986353948,0.230739948647119
"8",-35,7.904355350375,-0.947592920013094,70,4,2.36754550842765,0.343586460010511,0.514204732060124
"9",-31,7.654770935125,-0.947592920013094,70,3,2.38468059100366,0.262556444097638,1.26113748390013
"10",-28,7.4675826236875,-0.947592920013094,71,3,2.54467979995341,0.197235878026403,0.404834225438785
"11",-25,7.28039431225,-0.947592920013094,64,4,2.59298212688502,0.30063356366433,0.360010270586678
"12",-21,7.030809897,-0.947592920013094,65,6,2.58721543837685,0.188800101959605,0.360010270586678
"13",-15,6.872011199625,-0.947592920013094,40,2,2.59275614734448,0.178538246457385,0.391519833434061
"14",-13,6.8190783005,-0.947592920013094,92,5,2.58961290335993,0.330768662237358,0.341214648637888
"15",-8,6.6867460526875,-0.947592920013094,63,2,2.65993326653892,0.231866679052809,0.433098628893255
"16",-6,6.6338131535625,-0.947592920013094,62,9,2.63027946785386,0.23599469237715,0.510574609685211
"17",3,6.9016721795,-0.947592920013094,51,6,2.59493275871209,0.501193371556916,0.522925666035637
"18",9,7.122416286125,-0.947592920013094,50,2,1.88983793730721,0.255444727396682,0.283924053315017
"19",11,7.195997655,-0.947592920013094,38,5,1.74212630296544,0.186991172857261,0.292268824263057
"20",16,7.282118150625,-0.947592920013094,39,8,1.62818518018899,0.242026012167402,0.218664835493328
"21",24,7.419910943625,-0.947592920013094,38,11,1.54576666811377,0.398562429639968,0.621181989410035
"22",35,7.5785013875,-0.947592920013094,38,10,1.60171773940013,0.221727472606994,0.73114448219464
"23",45,7.6825825445,-0.947592920013094,40,1,1.57714417448481,0.400603078489621,1.01687542850225
"24",46,7.68116404975,-0.947592920013094,40,8,1.71717509887864,0.185269693363009,0.647807759294824
"25",54,7.66981609175,-0.947592920013094,39,9,1.50981163977318,0.380254526126365,0.985292542497926
"26",63,7.58793063106667,-0.947592920013094,40,8,1.39914628671847,0.270286985268653,0.0219799874366082
"27",71,7.4383446572,-0.947592920013094,39,7,1.78976508319146,0,0
"28",78,7.30086331675,-0.947592920013094,39,7,1.52649652609454,0.396646184161359,0.982690786596809
"29",85,7.1584367663125,-0.947592920013094,39,3,1.48135241348982,0.200091123627706,0.941547725852728
"30",88,7.097396816125,-0.947592920013094,39,5,1.26388404109246,0.0878042946141957,0.944657989770197
"31",93,7.0552977210625,-0.947592920013094,39,6,0.939847283042144,0.426797039522574,0.891564808351083
"32",104,7.050143139625,-0.947592920013094,39,6,0.979957861116062,0.125607109149002,0.979839115392054
"33",114,6.853181193,-0.947592920013094,39,1,0.867894777948369,0.20604882354053,0
"34",115,6.82867809925,-0.947592920013094,39,6,1.08421279686978,0.385803131725067,0.927087335282625
"35",121,6.68165953675,-0.947592920013094,38,2,0.997654213653761,0.254184394213893,0.824778967324672
"36",126,6.706349605,-0.947592920013094,38,1,0.862849272226284,0.211178811290699,0.82483444249043
"37",127,6.7186478955,-0.947592920013094,38,8,0.943010382196739,0.421032149466059,0.860065126261076
"38",144,6.797626303375,-0.947592920013094,38,10,0.825029261217265,0.287285503713919,0.81891227057595
"39",166,6.376798842,-0.947592920013094,39,14,0.959718953092405,0.289021016843364,0.692244759407502
"40",180,6.48233341733333,-0.947592920013094,39,4,0.915917600410472,0.47312386006671,0.830678352862305
"41",200,6.356420878875,-0.947592920013094,39,18,1.05954256911109,0.101264435849079,0.101209868703094
"42",218,6.593144877875,-0.947592920013094,38,21,0.822551221962374,0.448301395065834,1.51024228868377
"43",251,5.4569212005,-0.947592920013094,39,11,0.85800268900405,0.131525083229784,0.907259848574783
"44",262,5.19637145225,-0.947592920013094,39,26,0.824778182793677,0.453176190724768,0.860065126261076
"45",317,3.8336609535,-0.947592920013094,38,32,0.871299812854979,0.179433576928623,0.848695722529715
"46",385,2.6794483761875,-0.947592920013094,39,39,0.994867742492105,0.619079751444788,0.864195933319752
"47",445,2.70871809025,-0.947592920013094,39,11,1.07969794868307,0.522681904469791,0.861584190175971
"48",456,3.073857535375,-0.947592920013094,40,45,1.11764608494353,0.423354162110019,1.59728949751751
"49",501,2.940658860875,0.0544651621663782,38,18,1.02351051064165,0.486841929866314,1.55928327369523
"50",540,3.68577127025,1.04350371565792,38,47,0.842296573065909,0.511901430604765,1.58770374911677
"51",587,4.23094900925,0.332411022710909,41,45,0.833569635549584,0.592181534678255,1.76393300744836
"52",632,4.56214954873333,0.379011197005836,40,49,1.18779192740646,0.550986692964373,1.46954534955153
"53",724,7.5007541943125,1.22991955382513,37,63,1.01452868894976,0.593772574329726,0.831139977498702
"54",787,3.31372495266667,0.283990144668451,38,63,1.01134090942173,0.550648476727294,0.928592806890325
"55",914,2.595038877,-0.593609052476775,39,56,1.10525591753421,0.563633973645102,0.643282870846752
"56",1038,2.592002947,0.886815313834236,38,59,1.0027566108119,0.557234435115196,0.611506063760406
"57",1155,3.514110908,-0.77487210504457,39,51,0.8009151955058,0.476901672604667,0.769427251755637
"58",1255,3.343288067,0.468627283117986,38,53,0.760612359540407,0.619046000837837,0.79883867571194
"59",1349,3.780830843,1.77840901817945,40,5,0.59925292985634,0.688511657872168,0.706193459397462
"60",1430,2.781172564,-0.71230197417826,40,28,0.341243670557524,0.484197903653448,0.854948510022826
"61",1505,3.059312068,-0.0900751237006279,47,45,1.14830960595675,0.594905364817269,1.27179816447139
"62",1636,2.256045739,-0.451220879625795,31,19,0.308510016136257,0.582012904026242,1.17353963704833
"63",1690,2.860699516,0.915833647262928,38,13,0.317831178887168,0.639000437838404,1.30558314388712
"64",1703,2.253658537,2.41135314439068,39,39,0.225430952783035,0.683513623033863,1.08886418448048
"65",1765,2.6130587215,-0.572134282346473,38,37,0.216734900502942,0.572317013979414,1.05758163925283
"66",1839,3.590935722,-0.150173886803711,38,35,0.141713747479311,0.661541503028582,1.20361272865051
"67",1908,4.795827874,0.0109262202543735,38,33,0.154427796151048,0.620290440191952,1.22048061917916
"68",1941,3.6783714455,-0.161037545338878,38,32,0.0861285989792214,0.531947325391642,1.32485971467206
"69",2035,15.24512082,-0.574037863078245,39,17,0.289372735426455,0.525579559681088,1.34207134040671
"70",2070,10.8433255,-0.762583002225172,39,29,0.301119236349408,0.582158947771825,1.29227437173
"71",2127,3.88700976,-0.577527761086493,38,28,0,0.577020435856922,1.24507556883981
"72",2182,3.473160126,2.19491903674493,38,26,0.168767742713251,0.52631097310225,1.37547480849632
"73",2208,3.174218215,2.01006019679287,6,26,0.0306943834000924,0.34644965781097,0.682147970120763
"74",2260,3.8372348155,0.623133123803229,7,25,0.185135167806019,0.176628745191769,0.753457800117093
"75",2285,3.9535335745,0.104180757641615,258,25,0.112054604230059,0.398790776312491,0.793501076156986
"76",2358,2.8176572495,0.522445556891926,257,24,0.461762248132799,0.106497491518781,0.7055163686697
"77",2382,2.851340401,-0.521054866043928,66,23,0.534621285148797,0.360971583517269,0.156069229088405
"78",2450,6.708427577,0.527656580091721,65,22,0.695884790957857,0.148118749095077,0.157181903079337
"79",2488,9.729419024,-0.532300867717528,70,21,0.594083470162557,0.214234986353948,0.230739948647119
"80",2509,4.349601434,0.0723456360702682,70,22,0.465293705195252,0.343586460010511,0.514204732060124
"81",2551,3.073322574,1.64290851582387,70,21,0.700649750341389,0.262556444097638,1.26113748390013
"82",2586,9.2795748385,1.04192088479304,71,5,0.726393025877213,0.197235878026403,0.404834225438785
"83",2613,2.919133177,-0.563900908774907,64,3,0.732358113372471,0.30063356366433,0.360010270586678
"84",2649,4.832959105,-0.117786483621683,65,19,0.737353306021316,0.188800101959605,0.360010270586678
"85",2687,2.9308028225,-0.723523338543244,40,18,0.632937744985783,0.178538246457385,0.391519833434061
"86",2707,2.333453168,-0.60271651950826,92,10,0.668667144273216,0.330768662237358,0.341214648637888
"87",2735,3.4071935465,-0.516567854319037,63,17,0.620324744424704,0.231866679052809,0.433098628893255
"88",2752,4.4429293785,-0.76081539154567,62,7,0.686238942236329,0.23599469237715,0.510574609685211
"89",2776,2.79651503,-0.780972661260311,51,17,0.627513871825489,0.501193371556916,0.522925666035637
"90",2793,5.513171701,-0.52346862500601,50,10,0.640321439124209,0.255444727396682,0.283924053315017
"91",2820,3.309648591,-0.527264165097565,38,16,0.5677800973063,0.186991172857261,0.292268824263057
"92",2852,3.6155498825,-0.305400552458636,39,16,0.268809938238096,0.242026012167402,0.218664835493328
"93",2884,3.092447381,0.918414753981649,38,16,0.564435621974719,0.398562429639968,0.621181989410035
"94",2931,3.981306981,-0.246277519747736,38,15,0.564390902155052,0.221727472606994,0.73114448219464
"95",2961,3.9385449375,-0.275986976168604,40,1,0.59276099067033,0.400603078489621,1.01687542850225
"96",2967,3.886905151,-0.307246491185343,40,15,0.578671328442207,0.185269693363009,0.647807759294824
"97",2997,4.1023896565,-0.46354406626904,39,3,0.641574755665992,0.380254526126365,0.985292542497926
"98",3000,3.559553816,-0.484041117701679,40,3,0.626971262118025,0.270286985268653,0.0219799874366082
"99",3016,4.919711139,-0.645276527201302,39,12,0.55659813754331,0,0
"100",3036,3.619886954,-0.84682078907583,39,9,0.214876815488595,0.396646184161359,0.982690786596809
"101",3045,NA,-0.937515706919368,39,15,0.555121788981529,0.200091123627706,0.941547725852728
"102",3064,NA,-0.0505590100152747,39,11,0.244246165404804,0.0878042946141957,0.944657989770197
"103",3083,NA,0.399870297976844,39,13,0.607018764979593,0.426797039522574,0.891564808351083
"104",3104,NA,-0.291129507656341,39,9,0.638976163957564,0.125607109149002,0.979839115392054
"105",3113,NA,-0.587272281499135,39,10,0.608092385045071,0.20604882354053,0
"106",3140,NA,-0.0845061622435761,39,11,0.647919717973323,0.385803131725067,0.927087335282625
"107",3162,NA,0.0627552150501986,38,10,0.630743114500546,0.254184394213893,0.824778967324672
"108",3181,NA,-0.34370459453385,38,13,0.66499062630213,0.211178811290699,0.82483444249043
"109",3194,NA,-0.579748605273561,38,14,0.65040022989085,0.421032149466059,0.860065126261076
"110",3208,NA,-0.584824820558286,38,19,0.638957973798525,0.287285503713919,0.81891227057595
"111",3227,NA,-0.591713969873269,39,18,0.658597496097233,0.289021016843364,0.692244759407502
